Datetime,Water Level (m)
2023-08-02 18:00:00,2.2435195
2023-08-02 19:00:00,2.572095
2023-08-02 20:00:00,2.4896758
2023-08-02 21:00:00,1.9470822
2023-08-02 22:00:00,1.0722591
2023-08-02 23:00:00,0.036867287
2023-08-03 00:00:00,-0.90415263
2023-08-03 01:00:00,-1.6244857
2023-08-03 02:00:00,-1.9396176
2023-08-03 03:00:00,-1.1263026
2023-08-03 04:00:00,0.46729484
2023-08-03 05:00:00,1.7982757
2023-08-03 06:00:00,2.784086
2023-08-03 07:00:00,3.2452264
2023-08-03 08:00:00,3.1985972
2023-08-03 09:00:00,2.6249588
2023-08-03 10:00:00,1.6661302
2023-08-03 11:00:00,0.5172777
2023-08-03 12:00:00,-0.53536916
2023-08-03 13:00:00,-1.4205129
2023-08-03 14:00:00,-1.9740198
2023-08-03 15:00:00,-1.9510417
2023-08-03 16:00:00,-0.59903395
2023-08-03 17:00:00,0.751834
2023-08-03 18:00:00,1.9282672
2023-08-03 19:00:00,2.6272717
2023-08-03 20:00:00,2.8173652
2023-08-03 21:00:00,2.528013
2023-08-03 22:00:00,1.7370894
2023-08-03 23:00:00,0.74152696
2023-08-04 00:00:00,-0.30490914
2023-08-04 01:00:00,-1.231454
2023-08-04 02:00:00,-1.8367358
2023-08-04 03:00:00,-1.9481157
2023-08-04 04:00:00,-0.6951622
2023-08-04 05:00:00,0.76260495
2023-08-04 06:00:00,2.0768013
2023-08-04 07:00:00,2.9464817
2023-08-04 08:00:00,3.2615097
2023-08-04 09:00:00,3.0383902
2023-08-04 10:00:00,2.2741847
2023-08-04 11:00:00,1.2477068
2023-08-04 12:00:00,0.10686626
2023-08-04 13:00:00,-0.9146366
2023-08-04 14:00:00,-1.6964272
2023-08-04 15:00:00,-2.1354985
2023-08-04 16:00:00,-1.7147303
2023-08-04 17:00:00,-0.1685865
2023-08-04 18:00:00,1.0851731
2023-08-04 19:00:00,2.1466784
2023-08-04 20:00:00,2.6998007
2023-08-04 21:00:00,2.7606955
2023-08-04 22:00:00,2.353213
2023-08-04 23:00:00,1.5023154
2023-08-05 00:00:00,0.4850043
2023-08-05 01:00:00,-0.5289845
2023-08-05 02:00:00,-1.3770218
2023-08-05 03:00:00,-1.8989205
2023-08-05 04:00:00,-1.7811775
2023-08-05 05:00:00,-0.34713176
2023-08-05 06:00:00,0.99538547
2023-08-05 07:00:00,2.1722858
2023-08-05 08:00:00,2.8628829
2023-08-05 09:00:00,3.0358634
2023-08-05 10:00:00,2.7272606
2023-08-05 11:00:00,1.9183068
2023-08-05 12:00:00,0.8947346
2023-08-05 13:00:00,-0.17869906
2023-08-05 14:00:00,-1.1333178
2023-08-05 15:00:00,-1.8252606
2023-08-05 16:00:00,-2.0747552
2023-08-05 17:00:00,-1.2309427
2023-08-05 18:00:00,0.1985195
2023-08-05 19:00:00,1.3993249
2023-08-05 20:00:00,2.2907503
2023-08-05 21:00:00,2.692646
2023-08-05 22:00:00,2.6352096
2023-08-05 23:00:00,2.1241906
2023-08-06 00:00:00,1.2781056
2023-08-06 01:00:00,0.28086323
2023-08-06 02:00:00,-0.6725497
2023-08-06 03:00:00,-1.3966794
2023-08-06 04:00:00,-1.7949919
2023-08-06 05:00:00,-1.3676243
2023-08-06 06:00:00,0.014842902
2023-08-06 07:00:00,1.221692
2023-08-06 08:00:00,2.2035148
2023-08-06 09:00:00,2.7151124
2023-08-06 10:00:00,2.7430496
2023-08-06 11:00:00,2.3309183
2023-08-06 12:00:00,1.5264707
2023-08-06 13:00:00,0.5373793
2023-08-06 14:00:00,-0.4490376
2023-08-06 15:00:00,-1.2338511
2023-08-06 16:00:00,-1.7757181
2023-08-06 17:00:00,-1.7656715
2023-08-06 18:00:00,-0.67547154
2023-08-06 19:00:00,0.5430291
2023-08-06 20:00:00,1.622899
2023-08-06 21:00:00,2.3229067
2023-08-06 22:00:00,2.611002
2023-08-06 23:00:00,2.4874117
2023-08-07 00:00:00,1.902319
2023-08-07 01:00:00,1.0803776
2023-08-07 02:00:00,0.1375791
2023-08-07 03:00:00,-0.7220814
2023-08-07 04:00:00,-1.3175484
2023-08-07 05:00:00,-1.5255134
2023-08-07 06:00:00,-0.8980482
2023-08-07 07:00:00,0.27234498
2023-08-07 08:00:00,1.3147643
2023-08-07 09:00:00,2.072231
2023-08-07 10:00:00,2.4349442
2023-08-07 11:00:00,2.3929644
2023-08-07 12:00:00,1.9332399
2023-08-07 13:00:00,1.1666857
2023-08-07 14:00:00,0.25303528
